00086 A0819   1 Acute gastroenteropathy due to other small round viruses     Acute gastroenteropathy due to other small round viruses
00087 A082    1 Adenoviral enteritis                                         Adenoviral enteritis
00088 A083    0 Other viral enteritis                                        Other viral enteritis
00089 A0831   1 Calicivirus enteritis                                        Calicivirus enteritis
00090 A0832   1 Astrovirus enteritis                                         Astrovirus enteritis
00091 A0839   1 Other viral enteritis                                        Other viral enteritis
00092 A084    1 Viral intestinal infection, unspecified                      Viral intestinal infection, unspecified
00093 A088    1 Other specified intestinal infections                        Other specified intestinal infections
00094 A09     1 Infectious gastroenteritis and colitis, unspecified          Infectious gastroenteritis and colitis, unspecified
00095 A15     0 Respiratory tuberculosis                                     Respiratory tuberculosis
00096 A150    1 Tuberculosis of lung                                         Tuberculosis of lung
00097 A154    1 Tuberculosis of intrathoracic lymph nodes                    Tuberculosis of intrathoracic lymph nodes
00098 A155    1 Tuberculosis of larynx, trachea and bronchus                 Tuberculosis of larynx, trachea and bronchus
00099 A156    1 Tuberculous pleurisy                                         Tuberculous pleurisy
00100 A157    1 Primary respiratory tuberculosis                             Primary respiratory tuberculosis
00101 A158    1 Other respiratory tuberculosis                               Other respiratory tuberculosis
00102 A159    1 Respiratory tuberculosis unspecified                         Respiratory tuberculosis unspecified
00103 A17     0 Tuberculosis of nervous system                               Tuberculosis of nervous system
00104 A170    1 Tuberculous meningitis                                       Tuberculous meningitis
00105 A171    1 Meningeal tuberculoma                                        Meningeal tuberculoma
00106 A178    0 Other tuberculosis of nervous system                         Other tuberculosis of nervous system
00107 A1781   1 Tuberculoma of brain and spinal cord                         Tuberculoma of brain and spinal cord
00108 A1782   1 Tuberculous meningoencephalitis                              Tuberculous meningoencephalitis
00109 A1783   1 Tuberculous neuritis                                         Tuberculous neuritis
00110 A1789   1 Other tuberculosis of nervous system                         Other tuberculosis of nervous system
00111 A179    1 Tuberculosis of nervous system, unspecified                  Tuberculosis of nervous system, unspecified
00112 A18     0 Tuberculosis of other organs                                 Tuberculosis of other organs
00113 A180    0 Tuberculosis of bones and joints                             Tuberculosis of bones and joints
00114 A1801   1 Tuberculosis of spine                                        Tuberculosis of spine
00115 A1802   1 Tuberculous arthritis of other joints                        Tuberculous arthritis of other joints
00116 A1803   1 Tuberculosis of other bones                                  Tuberculosis of other bones
00117 A1809   1 Other musculoskeletal tuberculosis                           Other musculoskeletal tuberculosis
00118 A181    0 Tuberculosis of genitourinary system                         Tuberculosis of genitourinary system
00119 A1810   1 Tuberculosis of genitourinary system, unspecified            Tuberculosis of genitourinary system, unspecified
00120 A1811   1 Tuberculosis of kidney and ureter                            Tuberculosis of kidney and ureter
00121 A1812   1 Tuberculosis of bladder                                      Tuberculosis of bladder
00122 A1813   1 Tuberculosis of other urinary organs                         Tuberculosis of other urinary organs
00123 A1814   1 Tuberculosis of prostate                                     Tuberculosis of prostate
00124 A1815   1 Tuberculosis of other male genital organs                    Tuberculosis of other male genital organs
00125 A1816   1 Tuberculosis of cervix                                       Tuberculosis of cervix
00126 A1817   1 Tuberculous female pelvic inflammatory disease               Tuberculous female pelvic inflammatory disease
00127 A1818   1 Tuberculosis of other female genital organs                  Tuberculosis of other female genital organs
00128 A182    1 Tuberculous peripheral lymphadenopathy                       Tuberculous peripheral lymphadenopathy
00129 A183    0 Tuberculosis of intestines, peritoneum and mesenteric glands Tuberculosis of intestines, peritoneum and mesenteric glands
