00001 A00     0 Cholera                                                      Cholera
08621 H31319  1 Expulsive choroidal hemorrhage, unspecified eye              Expulsive choroidal hemorrhage, unspecified eye
08622 H3132   0 Choroidal rupture                                            Choroidal rupture
08623 H31321  1 Choroidal rupture, right eye                                 Choroidal rupture, right eye
08624 H31322  1 Choroidal rupture, left eye                                  Choroidal rupture, left eye
08625 H31323  1 Choroidal rupture, bilateral                                 Choroidal rupture, bilateral
08626 H31329  1 Choroidal rupture, unspecified eye                           Choroidal rupture, unspecified eye
08627 H314    0 Choroidal detachment                                         Choroidal detachment
08628 H3140   0 Unspecified choroidal detachment                             Unspecified choroidal detachment
08629 H31401  1 Unspecified choroidal detachment, right eye                  Unspecified choroidal detachment, right eye
08630 H31402  1 Unspecified choroidal detachment, left eye                   Unspecified choroidal detachment, left eye
08631 H31403  1 Unspecified choroidal detachment, bilateral                  Unspecified choroidal detachment, bilateral
08632 H31409  1 Unspecified choroidal detachment, unspecified eye            Unspecified choroidal detachment, unspecified eye
08633 H3141   0 Hemorrhagic choroidal detachment                             Hemorrhagic choroidal detachment
08634 H31411  1 Hemorrhagic choroidal detachment, right eye                  Hemorrhagic choroidal detachment, right eye
08635 H31412  1 Hemorrhagic choroidal detachment, left eye                   Hemorrhagic choroidal detachment, left eye
08636 H31413  1 Hemorrhagic choroidal detachment, bilateral                  Hemorrhagic choroidal detachment, bilateral
08637 H31419  1 Hemorrhagic choroidal detachment, unspecified eye            Hemorrhagic choroidal detachment, unspecified eye
08638 H3142   0 Serous choroidal detachment                                  Serous choroidal detachment
08639 H31421  1 Serous choroidal detachment, right eye                       Serous choroidal detachment, right eye
08640 H31422  1 Serous choroidal detachment, left eye                        Serous choroidal detachment, left eye
08641 H31423  1 Serous choroidal detachment, bilateral                       Serous choroidal detachment, bilateral
08642 H31429  1 Serous choroidal detachment, unspecified eye                 Serous choroidal detachment, unspecified eye
08643 H318    1 Other specified disorders of choroid                         Other specified disorders of choroid
08644 H319    1 Unspecified disorder of choroid                              Unspecified disorder of choroid
08645 H32     1 Chorioretinal disorders in diseases classified elsewhere     Chorioretinal disorders in diseases classified elsewhere
08646 H33     0 Retinal detachments and breaks                               Retinal detachments and breaks
08647 H330    0 Retinal detachment with retinal break                        Retinal detachment with retinal break
08648 H3300   0 Unspecified retinal detachment with retinal break            Unspecified retinal detachment with retinal break
08649 H33001  1 Unspecified retinal detachment with retinal break, right eye Unspecified retinal detachment with retinal break, right eye
08650 H33002  1 Unspecified retinal detachment with retinal break, left eye  Unspecified retinal detachment with retinal break, left eye
08651 H33003  1 Unspecified retinal detachment with retinal break, bilateral Unspecified retinal detachment with retinal break, bilateral
08652 H33009  1 Unsp retinal detachment with retinal break, unspecified eye  Unspecified retinal detachment with retinal break, unspecified eye
08653 H3301   0 Retinal detachment with single break                         Retinal detachment with single break
08654 H33011  1 Retinal detachment with single break, right eye              Retinal detachment with single break, right eye
08655 H33012  1 Retinal detachment with single break, left eye               Retinal detachment with single break, left eye
08656 H33013  1 Retinal detachment with single break, bilateral              Retinal detachment with single break, bilateral
08657 H33019  1 Retinal detachment with single break, unspecified eye        Retinal detachment with single break, unspecified eye
08658 H3302   0 Retinal detachment with multiple breaks                      Retinal detachment with multiple breaks
08659 H33021  1 Retinal detachment with multiple breaks, right eye           Retinal detachment with multiple breaks, right eye
08660 H33022  1 Retinal detachment with multiple breaks, left eye            Retinal detachment with multiple breaks, left eye
08661 H33023  1 Retinal detachment with multiple breaks, bilateral           Retinal detachment with multiple breaks, bilateral
08662 H33029  1 Retinal detachment with multiple breaks, unspecified eye     Retinal detachment with multiple breaks, unspecified eye
08663 H3303   0 Retinal detachment with giant retinal tear                   Retinal detachment with giant retinal tear
08664 H33031  1 Retinal detachment with giant retinal tear, right eye        Retinal detachment with giant retinal tear, right eye
08665 H33032  1 Retinal detachment with giant retinal tear, left eye         Retinal detachment with giant retinal tear, left eye
08666 H33033  1 Retinal detachment with giant retinal tear, bilateral        Retinal detachment with giant retinal tear, bilateral
08667 H33039  1 Retinal detachment with giant retinal tear, unspecified eye  Retinal detachment with giant retinal tear, unspecified eye
08668 H3304   0 Retinal detachment with retinal dialysis                     Retinal detachment with retinal dialysis
08669 H33041  1 Retinal detachment with retinal dialysis, right eye          Retinal detachment with retinal dialysis, right eye
08670 H33042  1 Retinal detachment with retinal dialysis, left eye           Retinal detachment with retinal dialysis, left eye
08671 H33043  1 Retinal detachment with retinal dialysis, bilateral          Retinal detachment with retinal dialysis, bilateral
08672 H33049  1 Retinal detachment with retinal dialysis, unspecified eye    Retinal detachment with retinal dialysis, unspecified eye
08673 H3305   0 Total retinal detachment                                     Total retinal detachment
08674 H33051  1 Total retinal detachment, right eye                          Total retinal detachment, right eye
08675 H33052  1 Total retinal detachment, left eye                           Total retinal detachment, left eye
08676 H33053  1 Total retinal detachment, bilateral                          Total retinal detachment, bilateral
08677 H33059  1 Total retinal detachment, unspecified eye                    Total retinal detachment, unspecified eye
08678 H331    0 Retinoschisis and retinal cysts                              Retinoschisis and retinal cysts
08679 H3310   0 Unspecified retinoschisis                                    Unspecified retinoschisis
08680 H33101  1 Unspecified retinoschisis, right eye                         Unspecified retinoschisis, right eye
08681 H33102  1 Unspecified retinoschisis, left eye                          Unspecified retinoschisis, left eye
08682 H33103  1 Unspecified retinoschisis, bilateral                         Unspecified retinoschisis, bilateral
08683 H33109  1 Unspecified retinoschisis, unspecified eye                   Unspecified retinoschisis, unspecified eye
08684 H3311   0 Cyst of ora serrata                                          Cyst of ora serrata
08685 H33111  1 Cyst of ora serrata, right eye                               Cyst of ora serrata, right eye
08686 H33112  1 Cyst of ora serrata, left eye                                Cyst of ora serrata, left eye
08687 H33113  1 Cyst of ora serrata, bilateral                               Cyst of ora serrata, bilateral
08688 H33119  1 Cyst of ora serrata, unspecified eye                         Cyst of ora serrata, unspecified eye
08689 H3312   0 Parasitic cyst of retina                                     Parasitic cyst of retina
08690 H33121  1 Parasitic cyst of retina, right eye                          Parasitic cyst of retina, right eye
08691 H33122  1 Parasitic cyst of retina, left eye                           Parasitic cyst of retina, left eye
08692 H33123  1 Parasitic cyst of retina, bilateral                          Parasitic cyst of retina, bilateral
08693 H33129  1 Parasitic cyst of retina, unspecified eye                    Parasitic cyst of retina, unspecified eye
08694 H3319   0 Other retinoschisis and retinal cysts                        Other retinoschisis and retinal cysts
08695 H33191  1 Other retinoschisis and retinal cysts, right eye             Other retinoschisis and retinal cysts, right eye
08696 H33192  1 Other retinoschisis and retinal cysts, left eye              Other retinoschisis and retinal cysts, left eye
08697 H33193  1 Other retinoschisis and retinal cysts, bilateral             Other retinoschisis and retinal cysts, bilateral
08698 H33199  1 Other retinoschisis and retinal cysts, unspecified eye       Other retinoschisis and retinal cysts, unspecified eye
08699 H332    0 Serous retinal detachment                                    Serous retinal detachment
08700 H3320   1 Serous retinal detachment, unspecified eye                   Serous retinal detachment, unspecified eye
08701 H3321   1 Serous retinal detachment, right eye                         Serous retinal detachment, right eye
08702 H3322   1 Serous retinal detachment, left eye                          Serous retinal detachment, left eye
08703 H3323   1 Serous retinal detachment, bilateral                         Serous retinal detachment, bilateral
08704 H333    0 Retinal breaks without detachment                            Retinal breaks without detachment
08705 H3330   0 Unspecified retinal break                                    Unspecified retinal break
08706 H33301  1 Unspecified retinal break, right eye                         Unspecified retinal break, right eye
08707 H33302  1 Unspecified retinal break, left eye                          Unspecified retinal break, left eye
08708 H33303  1 Unspecified retinal break, bilateral                         Unspecified retinal break, bilateral
08709 H33309  1 Unspecified retinal break, unspecified eye                   Unspecified retinal break, unspecified eye
08710 H3331   0 Horseshoe tear of retina without detachment                  Horseshoe tear of retina without detachment
08711 H33311  1 Horseshoe tear of retina without detachment, right eye       Horseshoe tear of retina without detachment, right eye
08712 H33312  1 Horseshoe tear of retina without detachment, left eye        Horseshoe tear of retina without detachment, left eye
08713 H33313  1 Horseshoe tear of retina without detachment, bilateral       Horseshoe tear of retina without detachment, bilateral
08714 H33319  1 Horseshoe tear of retina without detachment, unspecified eye Horseshoe tear of retina without detachment, unspecified eye
08715 H3332   0 Round hole of retina without detachment                      Round hole of retina without detachment
08716 H33321  1 Round hole, right eye                                        Round hole, right eye
08717 H33322  1 Round hole, left eye                                         Round hole, left eye
08718 H33323  1 Round hole, bilateral                                        Round hole, bilateral
08719 H33329  1 Round hole, unspecified eye                                  Round hole, unspecified eye
08720 H3333   0 Multiple defects of retina without detachment                Multiple defects of retina without detachment
08721 H33331  1 Multiple defects of retina without detachment, right eye     Multiple defects of retina without detachment, right eye
08722 H33332  1 Multiple defects of retina without detachment, left eye      Multiple defects of retina without detachment, left eye
08723 H33333  1 Multiple defects of retina without detachment, bilateral     Multiple defects of retina without detachment, bilateral
08724 H33339  1 Multiple defects of retina without detachment, unsp eye      Multiple defects of retina without detachment, unspecified eye
08725 H334    0 Traction detachment of retina                                Traction detachment of retina
08726 H3340   1 Traction detachment of retina, unspecified eye               Traction detachment of retina, unspecified eye
08727 H3341   1 Traction detachment of retina, right eye                     Traction detachment of retina, right eye
08728 H3342   1 Traction detachment of retina, left eye                      Traction detachment of retina, left eye
08729 H3343   1 Traction detachment of retina, bilateral                     Traction detachment of retina, bilateral
08730 H338    1 Other retinal detachments                                    Other retinal detachments
08731 H34     0 Retinal vascular occlusions                                  Retinal vascular occlusions
08732 H340    0 Transient retinal artery occlusion                           Transient retinal artery occlusion
08733 H3400   1 Transient retinal artery occlusion, unspecified eye          Transient retinal artery occlusion, unspecified eye
08734 H3401   1 Transient retinal artery occlusion, right eye                Transient retinal artery occlusion, right eye
08735 H3402   1 Transient retinal artery occlusion, left eye                 Transient retinal artery occlusion, left eye
08736 H3403   1 Transient retinal artery occlusion, bilateral                Transient retinal artery occlusion, bilateral
08737 H341    0 Central retinal artery occlusion                             Central retinal artery occlusion
08738 H3410   1 Central retinal artery occlusion, unspecified eye            Central retinal artery occlusion, unspecified eye
08739 H3411   1 Central retinal artery occlusion, right eye                  Central retinal artery occlusion, right eye
08740 H3412   1 Central retinal artery occlusion, left eye                   Central retinal artery occlusion, left eye
08741 H3413   1 Central retinal artery occlusion, bilateral                  Central retinal artery occlusion, bilateral
08742 H342    0 Other retinal artery occlusions                              Other retinal artery occlusions
08743 H3421   0 Partial retinal artery occlusion                             Partial retinal artery occlusion
08744 H34211  1 Partial retinal artery occlusion, right eye                  Partial retinal artery occlusion, right eye
08745 H34212  1 Partial retinal artery occlusion, left eye                   Partial retinal artery occlusion, left eye
08746 H34213  1 Partial retinal artery occlusion, bilateral                  Partial retinal artery occlusion, bilateral
08747 H34219  1 Partial retinal artery occlusion, unspecified eye            Partial retinal artery occlusion, unspecified eye
08748 H3423   0 Retinal artery branch occlusion                              Retinal artery branch occlusion
08749 H34231  1 Retinal artery branch occlusion, right eye                   Retinal artery branch occlusion, right eye
08750 H34232  1 Retinal artery branch occlusion, left eye                    Retinal artery branch occlusion, left eye
08751 H34233  1 Retinal artery branch occlusion, bilateral                   Retinal artery branch occlusion, bilateral
08752 H34239  1 Retinal artery branch occlusion, unspecified eye             Retinal artery branch occlusion, unspecified eye
08753 H348    0 Other retinal vascular occlusions                            Other retinal vascular occlusions
08754 H3481   0 Central retinal vein occlusion                               Central retinal vein occlusion
08755 H34811  0 Central retinal vein occlusion, right eye                    Central retinal vein occlusion, right eye
08756 H348110 1 Central retinal vein occls, right eye, with macular edema    Central retinal vein occlusion, right eye, with macular edema
08757 H348111 1 Central retinal vein occlusion, right eye, w rtnl neovas     Central retinal vein occlusion, right eye, with retinal neovascularization
08758 H348112 1 Central retinal vein occlusion, right eye, stable            Central retinal vein occlusion, right eye, stable
08759 H34812  0 Central retinal vein occlusion, left eye                     Central retinal vein occlusion, left eye
08760 H348120 1 Central retinal vein occlusion, left eye, with macular edema Central retinal vein occlusion, left eye, with macular edema
08761 H348121 1 Central retinal vein occlusion, left eye, w rtnl neovas      Central retinal vein occlusion, left eye, with retinal neovascularization
08762 H348122 1 Central retinal vein occlusion, left eye, stable             Central retinal vein occlusion, left eye, stable
08763 H34813  0 Central retinal vein occlusion, bilateral                    Central retinal vein occlusion, bilateral
08764 H348130 1 Central retinal vein occlusion, bi, with macular edema       Central retinal vein occlusion, bilateral, with macular edema
08765 H348131 1 Central retinal vein occlusion, bilateral, w rtnl neovas     Central retinal vein occlusion, bilateral, with retinal neovascularization
08766 H348132 1 Central retinal vein occlusion, bilateral, stable            Central retinal vein occlusion, bilateral, stable
08767 H34819  0 Central retinal vein occlusion, unspecified eye              Central retinal vein occlusion, unspecified eye
08768 H348190 1 Central retinal vein occlusion, unsp, with macular edema     Central retinal vein occlusion, unspecified eye, with macular edema
08769 H348191 1 Central retinal vein occlusion, unsp, w rtnl neovas          Central retinal vein occlusion, unspecified eye, with retinal neovascularization
08770 H348192 1 Central retinal vein occlusion, unspecified eye, stable      Central retinal vein occlusion, unspecified eye, stable
08771 H3482   0 Venous engorgement                                           Venous engorgement
08772 H34821  1 Venous engorgement, right eye                                Venous engorgement, right eye
08773 H34822  1 Venous engorgement, left eye                                 Venous engorgement, left eye
08774 H34823  1 Venous engorgement, bilateral                                Venous engorgement, bilateral
08775 H34829  1 Venous engorgement, unspecified eye                          Venous engorgement, unspecified eye
08776 H3483   0 Tributary (branch) retinal vein occlusion                    Tributary (branch) retinal vein occlusion
08777 H34831  0 Tributary (branch) retinal vein occlusion, right eye         Tributary (branch) retinal vein occlusion, right eye
08778 H348310 1 Trib rtnl vein occlusion, right eye, with macular edema      Tributary (branch) retinal vein occlusion, right eye, with macular edema
08779 H348311 1 Trib rtnl vein occlusion, right eye, w rtnl neovas           Tributary (branch) retinal vein occlusion, right eye, with retinal neovascularization
08780 H348312 1 Tributary (branch) retinal vein occlusion, right eye, stable Tributary (branch) retinal vein occlusion, right eye, stable
08781 H34832  0 Tributary (branch) retinal vein occlusion, left eye          Tributary (branch) retinal vein occlusion, left eye
08782 H348320 1 Trib rtnl vein occlusion, left eye, with macular edema       Tributary (branch) retinal vein occlusion, left eye, with macular edema
08783 H348321 1 Trib rtnl vein occlusion, left eye, w rtnl neovas            Tributary (branch) retinal vein occlusion, left eye, with retinal neovascularization
08784 H348322 1 Tributary (branch) retinal vein occlusion, left eye, stable  Tributary (branch) retinal vein occlusion, left eye, stable
08785 H34833  0 Tributary (branch) retinal vein occlusion, bilateral         Tributary (branch) retinal vein occlusion, bilateral
08786 H348330 1 Trib rtnl vein occlusion, bilateral, with macular edema      Tributary (branch) retinal vein occlusion, bilateral, with macular edema
08787 H348331 1 Trib rtnl vein occlusion, bilateral, w rtnl neovas           Tributary (branch) retinal vein occlusion, bilateral, with retinal neovascularization
08788 H348332 1 Tributary (branch) retinal vein occlusion, bilateral, stable Tributary (branch) retinal vein occlusion, bilateral, stable
08789 H34839  0 Tributary (branch) retinal vein occlusion, unspecified eye   Tributary (branch) retinal vein occlusion, unspecified eye
08790 H348390 1 Trib rtnl vein occlusion, unsp, with macular edema           Tributary (branch) retinal vein occlusion, unspecified eye, with macular edema
08791 H348391 1 Trib rtnl vein occlusion, unspecified eye, w rtnl neovas     Tributary (branch) retinal vein occlusion, unspecified eye, with retinal neovascularization
08792 H348392 1 Trib rtnl vein occlusion, unspecified eye, stable            Tributary (branch) retinal vein occlusion, unspecified eye, stable
08793 H349    1 Unspecified retinal vascular occlusion                       Unspecified retinal vascular occlusion
08794 H35     0 Other retinal disorders                                      Other retinal disorders
08795 H350    0 Background retinopathy and retinal vascular changes          Background retinopathy and retinal vascular changes
08796 H3500   1 Unspecified background retinopathy                           Unspecified background retinopathy
08797 H3501   0 Changes in retinal vascular appearance                       Changes in retinal vascular appearance
08798 H35011  1 Changes in retinal vascular appearance, right eye            Changes in retinal vascular appearance, right eye
08799 H35012  1 Changes in retinal vascular appearance, left eye             Changes in retinal vascular appearance, left eye
08800 H35013  1 Changes in retinal vascular appearance, bilateral            Changes in retinal vascular appearance, bilateral
08801 H35019  1 Changes in retinal vascular appearance, unspecified eye      Changes in retinal vascular appearance, unspecified eye
08802 H3502   0 Exudative retinopathy                                        Exudative retinopathy
08803 H35021  1 Exudative retinopathy, right eye                             Exudative retinopathy, right eye
08804 H35022  1 Exudative retinopathy, left eye                              Exudative retinopathy, left eye
08805 H35023  1 Exudative retinopathy, bilateral                             Exudative retinopathy, bilateral
08806 H35029  1 Exudative retinopathy, unspecified eye                       Exudative retinopathy, unspecified eye
08807 H3503   0 Hypertensive retinopathy                                     Hypertensive retinopathy
08808 H35031  1 Hypertensive retinopathy, right eye                          Hypertensive retinopathy, right eye
08809 H35032  1 Hypertensive retinopathy, left eye                           Hypertensive retinopathy, left eye
08810 H35033  1 Hypertensive retinopathy, bilateral                          Hypertensive retinopathy, bilateral
08811 H35039  1 Hypertensive retinopathy, unspecified eye                    Hypertensive retinopathy, unspecified eye
08812 H3504   0 Retinal micro-aneurysms, unspecified                         Retinal micro-aneurysms, unspecified
08813 H35041  1 Retinal micro-aneurysms, unspecified, right eye              Retinal micro-aneurysms, unspecified, right eye
08814 H35042  1 Retinal micro-aneurysms, unspecified, left eye               Retinal micro-aneurysms, unspecified, left eye
08815 H35043  1 Retinal micro-aneurysms, unspecified, bilateral              Retinal micro-aneurysms, unspecified, bilateral
08816 H35049  1 Retinal micro-aneurysms, unspecified, unspecified eye        Retinal micro-aneurysms, unspecified, unspecified eye
08817 H3505   0 Retinal neovascularization, unspecified                      Retinal neovascularization, unspecified
08818 H35051  1 Retinal neovascularization, unspecified, right eye           Retinal neovascularization, unspecified, right eye
08819 H35052  1 Retinal neovascularization, unspecified, left eye            Retinal neovascularization, unspecified, left eye
08820 H35053  1 Retinal neovascularization, unspecified, bilateral           Retinal neovascularization, unspecified, bilateral
08821 H35059  1 Retinal neovascularization, unspecified, unspecified eye     Retinal neovascularization, unspecified, unspecified eye
08822 H3506   0 Retinal vasculitis                                           Retinal vasculitis
08823 H35061  1 Retinal vasculitis, right eye                                Retinal vasculitis, right eye
08824 H35062  1 Retinal vasculitis, left eye                                 Retinal vasculitis, left eye
08825 H35063  1 Retinal vasculitis, bilateral                                Retinal vasculitis, bilateral
08826 H35069  1 Retinal vasculitis, unspecified eye                          Retinal vasculitis, unspecified eye
08827 H3507   0 Retinal telangiectasis                                       Retinal telangiectasis
08828 H35071  1 Retinal telangiectasis, right eye                            Retinal telangiectasis, right eye
08829 H35072  1 Retinal telangiectasis, left eye                             Retinal telangiectasis, left eye
08830 H35073  1 Retinal telangiectasis, bilateral                            Retinal telangiectasis, bilateral
08831 H35079  1 Retinal telangiectasis, unspecified eye                      Retinal telangiectasis, unspecified eye
08832 H3509   1 Other intraretinal microvascular abnormalities               Other intraretinal microvascular abnormalities
08833 H351    0 Retinopathy of prematurity                                   Retinopathy of prematurity
08834 H3510   0 Retinopathy of prematurity, unspecified                      Retinopathy of prematurity, unspecified
08835 H35101  1 Retinopathy of prematurity, unspecified, right eye           Retinopathy of prematurity, unspecified, right eye
08836 H35102  1 Retinopathy of prematurity, unspecified, left eye            Retinopathy of prematurity, unspecified, left eye
08837 H35103  1 Retinopathy of prematurity, unspecified, bilateral           Retinopathy of prematurity, unspecified, bilateral
08838 H35109  1 Retinopathy of prematurity, unspecified, unspecified eye     Retinopathy of prematurity, unspecified, unspecified eye
08839 H3511   0 Retinopathy of prematurity, stage 0                          Retinopathy of prematurity, stage 0
08840 H35111  1 Retinopathy of prematurity, stage 0, right eye               Retinopathy of prematurity, stage 0, right eye
08841 H35112  1 Retinopathy of prematurity, stage 0, left eye                Retinopathy of prematurity, stage 0, left eye
08842 H35113  1 Retinopathy of prematurity, stage 0, bilateral               Retinopathy of prematurity, stage 0, bilateral
08843 H35119  1 Retinopathy of prematurity, stage 0, unspecified eye         Retinopathy of prematurity, stage 0, unspecified eye
08844 H3512   0 Retinopathy of prematurity, stage 1                          Retinopathy of prematurity, stage 1
08845 H35121  1 Retinopathy of prematurity, stage 1, right eye               Retinopathy of prematurity, stage 1, right eye
08846 H35122  1 Retinopathy of prematurity, stage 1, left eye                Retinopathy of prematurity, stage 1, left eye
08847 H35123  1 Retinopathy of prematurity, stage 1, bilateral               Retinopathy of prematurity, stage 1, bilateral
08848 H35129  1 Retinopathy of prematurity, stage 1, unspecified eye         Retinopathy of prematurity, stage 1, unspecified eye
08849 H3513   0 Retinopathy of prematurity, stage 2                          Retinopathy of prematurity, stage 2
08850 H35131  1 Retinopathy of prematurity, stage 2, right eye               Retinopathy of prematurity, stage 2, right eye
08851 H35132  1 Retinopathy of prematurity, stage 2, left eye                Retinopathy of prematurity, stage 2, left eye
08852 H35133  1 Retinopathy of prematurity, stage 2, bilateral               Retinopathy of prematurity, stage 2, bilateral
08853 H35139  1 Retinopathy of prematurity, stage 2, unspecified eye         Retinopathy of prematurity, stage 2, unspecified eye
08854 H3514   0 Retinopathy of prematurity, stage 3                          Retinopathy of prematurity, stage 3
08855 H35141  1 Retinopathy of prematurity, stage 3, right eye               Retinopathy of prematurity, stage 3, right eye
08856 H35142  1 Retinopathy of prematurity, stage 3, left eye                Retinopathy of prematurity, stage 3, left eye
08857 H35143  1 Retinopathy of prematurity, stage 3, bilateral               Retinopathy of prematurity, stage 3, bilateral
08858 H35149  1 Retinopathy of prematurity, stage 3, unspecified eye         Retinopathy of prematurity, stage 3, unspecified eye
08859 H3515   0 Retinopathy of prematurity, stage 4                          Retinopathy of prematurity, stage 4
08860 H35151  1 Retinopathy of prematurity, stage 4, right eye               Retinopathy of prematurity, stage 4, right eye
08861 H35152  1 Retinopathy of prematurity, stage 4, left eye                Retinopathy of prematurity, stage 4, left eye
08862 H35153  1 Retinopathy of prematurity, stage 4, bilateral               Retinopathy of prematurity, stage 4, bilateral
08863 H35159  1 Retinopathy of prematurity, stage 4, unspecified eye         Retinopathy of prematurity, stage 4, unspecified eye
08864 H3516   0 Retinopathy of prematurity, stage 5                          Retinopathy of prematurity, stage 5
08865 H35161  1 Retinopathy of prematurity, stage 5, right eye               Retinopathy of prematurity, stage 5, right eye
08866 H35162  1 Retinopathy of prematurity, stage 5, left eye                Retinopathy of prematurity, stage 5, left eye
08867 H35163  1 Retinopathy of prematurity, stage 5, bilateral               Retinopathy of prematurity, stage 5, bilateral
08868 H35169  1 Retinopathy of prematurity, stage 5, unspecified eye         Retinopathy of prematurity, stage 5, unspecified eye
08869 H3517   0 Retrolental fibroplasia                                      Retrolental fibroplasia
08870 H35171  1 Retrolental fibroplasia, right eye                           Retrolental fibroplasia, right eye
08871 H35172  1 Retrolental fibroplasia, left eye                            Retrolental fibroplasia, left eye
08872 H35173  1 Retrolental fibroplasia, bilateral                           Retrolental fibroplasia, bilateral
08873 H35179  1 Retrolental fibroplasia, unspecified eye                     Retrolental fibroplasia, unspecified eye
08874 H352    0 Other non-diabetic proliferative retinopathy                 Other non-diabetic proliferative retinopathy
08875 H3520   1 Other non-diabetic proliferative retinopathy, unsp eye       Other non-diabetic proliferative retinopathy, unspecified eye
08876 H3521   1 Other non-diabetic proliferative retinopathy, right eye      Other non-diabetic proliferative retinopathy, right eye
08877 H3522   1 Other non-diabetic proliferative retinopathy, left eye       Other non-diabetic proliferative retinopathy, left eye
08878 H3523   1 Other non-diabetic proliferative retinopathy, bilateral      Other non-diabetic proliferative retinopathy, bilateral
08879 H353    0 Degeneration of macula and posterior pole                    Degeneration of macula and posterior pole
08880 H3530   1 Unspecified macular degeneration                             Unspecified macular degeneration
08881 H3531   0 Nonexudative age-related macular degeneration                Nonexudative age-related macular degeneration
08882 H35311  0 Nonexudative age-related macular degeneration, right eye     Nonexudative age-related macular degeneration, right eye
08883 H353110 1 Nexdtve age-related mclr degn, right eye, stage unspecified  Nonexudative age-related macular degeneration, right eye, stage unspecified
08884 H353111 1 Nexdtve age-related mclr degn, right eye, early dry stage    Nonexudative age-related macular degeneration, right eye, early dry stage
08885 H353112 1 Nexdtve age-related mclr degn, right eye, intermed dry stage Nonexudative age-related macular degeneration, right eye, intermediate dry stage
08886 H353113 1 Nexdtve age-rel mclr degn, r eye, adv atrpc w/o sbfvl invl   Nonexudative age-related macular degeneration, right eye, advanced atrophic without subfoveal involvement
08887 H353114 1 Nexdtve age-rel mclr degn, r eye, adv atrpc with sbfvl invl  Nonexudative age-related macular degeneration, right eye, advanced atrophic with subfoveal involvement
08888 H35312  0 Nonexudative age-related macular degeneration, left eye      Nonexudative age-related macular degeneration, left eye
08889 H353120 1 Nexdtve age-related mclr degn, left eye, stage unspecified   Nonexudative age-related macular degeneration, left eye, stage unspecified
08890 H353121 1 Nexdtve age-related mclr degn, left eye, early dry stage     Nonexudative age-related macular degeneration, left eye, early dry stage
08891 H353122 1 Nexdtve age-related mclr degn, left eye, intermed dry stage  Nonexudative age-related macular degeneration, left eye, intermediate dry stage
08892 H353123 1 Nexdtve age-rel mclr degn, l eye, adv atrpc w/o sbfvl invl   Nonexudative age-related macular degeneration, left eye, advanced atrophic without subfoveal involvement
08893 H353124 1 Nexdtve age-rel mclr degn, l eye, adv atrpc with sbfvl invl  Nonexudative age-related macular degeneration, left eye, advanced atrophic with subfoveal involvement
08894 H35313  0 Nonexudative age-related macular degeneration, bilateral     Nonexudative age-related macular degeneration, bilateral
08895 H353130 1 Nexdtve age-related mclr degn, bilateral, stage unspecified  Nonexudative age-related macular degeneration, bilateral, stage unspecified
08896 H353131 1 Nexdtve age-related mclr degn, bilateral, early dry stage    Nonexudative age-related macular degeneration, bilateral, early dry stage
08897 H353132 1 Nexdtve age-related mclr degn, bilateral, intermed dry stage Nonexudative age-related macular degeneration, bilateral, intermediate dry stage
08898 H353133 1 Nexdtve age-rel mclr degn, bi, adv atrpc without sbfvl invl  Nonexudative age-related macular degeneration, bilateral, advanced atrophic without subfoveal involvement
08899 H353134 1 Nexdtve age-rel mclr degn, bi, adv atrpc with subfoveal invl Nonexudative age-related macular degeneration, bilateral, advanced atrophic with subfoveal involvement
08900 H35319  0 Nonexudative age-related mclr degn, unspecified eye          Nonexudative age-related macular degeneration, unspecified eye
08901 H353190 1 Nonexudative age-related mclr degn, unsp, stage unspecified  Nonexudative age-related macular degeneration, unspecified eye, stage unspecified
08902 H353191 1 Nonexudative age-related mclr degn, unsp, early dry stage    Nonexudative age-related macular degeneration, unspecified eye, early dry stage
08903 H353192 1 Nonexudative age-related mclr degn, unsp, intermed dry stage Nonexudative age-related macular degeneration, unspecified eye, intermediate dry stage
08904 H353193 1 Nexdtve age-rel mclr degn, unsp, adv atrpc w/o sbfvl invl    Nonexudative age-related macular degeneration, unspecified eye, advanced atrophic without subfoveal involvement
08905 H353194 1 Nexdtve age-rel mclr degn, unsp, adv atrpc with sbfvl invl   Nonexudative age-related macular degeneration, unspecified eye, advanced atrophic with subfoveal involvement
08906 H3532   0 Exudative age-related macular degeneration                   Exudative age-related macular degeneration
08907 H35321  0 Exudative age-related macular degeneration, right eye        Exudative age-related macular degeneration, right eye
08908 H353210 1 Exudative age-rel mclr degn, right eye, stage unspecified    Exudative age-related macular degeneration, right eye, stage unspecified
08909 H353211 1 Exdtve age-rel mclr degn, right eye, with actv chrdl neovas  Exudative age-related macular degeneration, right eye, with active choroidal neovascularization
08910 H353212 1 Exdtve age-rel mclr degn, right eye, with inact chrdl neovas Exudative age-related macular degeneration, right eye, with inactive choroidal neovascularization
08911 H353213 1 Exudative age-rel mclr degn, right eye, with inactive scar   Exudative age-related macular degeneration, right eye, with inactive scar
08912 H35322  0 Exudative age-related macular degeneration, left eye         Exudative age-related macular degeneration, left eye
08913 H353220 1 Exudative age-related mclr degn, left eye, stage unspecified Exudative age-related macular degeneration, left eye, stage unspecified
08914 H353221 1 Exdtve age-rel mclr degn, left eye, with actv chrdl neovas   Exudative age-related macular degeneration, left eye, with active choroidal neovascularization
